baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_464665 625.307294490747 10.7120489845564 2.08779228939407 5.13080206252955 2.88510172517707e-07 0.000181676552753062 .
evgLocus_451426 76.1440756749438 8.29330383458103 1.62423131281023 5.10598691773281 3.29072457595696e-07 0.000201298323346396 .
evgLocus_540142 13.6328302346206 3.61896119251349 0.713766156488549 5.07023366072351 3.97327589133204e-07 0.000229913072522754 .
evgLocus_13309 31642.7045820867 2.62210720821486 0.518618225127846 5.0559488293503 4.28256160680269e-07 0.000241288536846436 COX1_CHOBI
evgLocus_285503 78.3691511445541 7.62545758925801 1.51386272349395 5.03708656730689 4.72671045382976e-07 0.000252997177041238 .
evgLocus_144782 72.0220919737944 6.27392924792178 1.24982792253151 5.01983443865937 5.17160330612164e-07 0.000270058601912352 AK2E4_BOMMO
evgLocus_521625 739.341471955145 8.90057292275899 1.77746110890161 5.00746422984137 5.51517968087412e-07 0.000271467481228975 .
evgLocus_559501 10.0327286454866 5.69536127691274 1.13787756031707 5.00524966440652 5.57896738630309e-07 0.000271467481228975 DLDH_MANSE
evgLocus_484745 1273.45521872208 3.78332210744223 0.758244357875401 4.98958161461707 6.05102052596704e-07 0.000287894109913232 CBPB_ASTAS
evgLocus_207400 4488.22426292079 8.19146700686177 1.64860890669121 4.96871451659338 6.73982113933825e-07 0.000307487681554792 .
evgLocus_489046 41.1059410781705 2.64640116317023 0.534138397894843 4.95452334750746 7.25078104865385e-07 0.000323415046357665 .
evgLocus_224380 41.0286285092446 2.62512158335435 0.531246777567746 4.94143530690799 7.75495485631918e-07 0.000338844047905701 .
evgLocus_550388 2621.40797767463 8.55789541446675 1.75076793435246 4.88808096524339 1.01823655750788e-06 0.000436008893924876 .
evgLocus_477876 2305.34976089063 8.21898516813557 1.68970162492397 4.86416361735192 1.14941804414176e-06 0.000482530202452451 .
evgLocus_491864 49.702208173268 2.70003488535008 0.556929591811445 4.84807222501512 1.24667015449636e-06 0.000513292461687827 .
