baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_423277 76.7673592122249 -9.5513522854215 1.51405625321779 -6.30845271773899 2.81838802984529e-10 6.92047204158616e-08 .
evgLocus_424587 347521.631208483 -3.79707902099124 0.617730767059373 -6.14681868456503 7.90524059130067e-10 1.87052365554885e-07 .
evgLocus_345381 378.889239250071 -10.8934389970754 1.79570220172104 -6.06639507744372 1.30813115637248e-09 2.93517566707438e-07 .
evgLocus_262316 52.0896711734998 -8.99171333579979 1.48803313792513 -6.04268353078317 1.51571777466809e-09 3.34331374907297e-07 .
evgLocus_271036 97.2213982879104 -8.15184990563275 1.35178964442705 -6.0304130448402 1.63541148342941e-09 3.5472075075584e-07 GAGXE_DROME
evgLocus_357575 79.6175637239915 -8.63839638483344 1.43773470839023 -6.00833821039592 1.87434527951937e-09 3.9988081094533e-07 .
evgLocus_435078 38.8400688446441 -8.57007557448354 1.42983898728951 -5.99373471465449 2.05075816739817e-09 4.30460754685803e-07 PPAF2_HOLDI
evgLocus_871 45.9193082081508 -8.8097141198268 1.47679334502647 -5.96543460159546 2.43983756847279e-09 4.96125720564139e-07 .
evgLocus_12870 145.518069313422 -10.4757462436274 1.77743900318444 -5.89373037547794 3.77573075110667e-09 7.33393432759735e-07 .
evgLocus_245510 80.0639654067685 -8.64690603987581 1.51361269968278 -5.71275996936866 1.11158416643415e-08 2.00918838082972e-06 .
evgLocus_438616 1446.0796148429 -3.30953837813486 0.580525707040252 -5.70093337469616 1.19153202622429e-08 2.06754637190439e-06 RL40_DROME
evgLocus_341111 31.5044656581018 -8.26945447178333 1.47942557188202 -5.58963872799868 2.2754251776841e-08 3.85301395523942e-06 .
evgLocus_462697 31.5164573894734 -8.26609319321333 1.49788465250293 -5.51851117467616 3.4188373516806e-08 5.70419862753478e-06 PIHD1_DANRE
evgLocus_612576 1268.3464145273 -3.11269720837031 0.564698514078392 -5.51213989548094 3.54496967427983e-08 5.83977662545287e-06 ATP5I_BOVIN
