baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_643472 3.17797256038017 -3.44875341174346 0.84456536446718 -4.08346536199624 4.43690453567971e-05 0.00693387781816807 .
evgLocus_455880 5853.51496726877 -7.75455919672583 1.91133416908269 -4.05714464909477 4.96763176362929e-05 0.00752512269402939 .
evgLocus_804631 18.5685425358544 -4.13326338481019 1.02359187720099 -4.03799939885473 5.39089912638665e-05 0.00776297821653794 .
evgLocus_797687 2.91730811537534 -3.27316548536431 0.824786378451418 -3.96850090020868 7.23261842053937e-05 0.00936538215066701 OPSD_SPHSP
evgLocus_489307 186.597908703447 -4.99679698369906 1.27310737813731 -3.92488259003723 8.6772049236755e-05 0.0107014902774382 COG8_DROME
evgLocus_447386 3213.03137511189 -5.06273567368587 1.29470192350689 -3.91034846072732 9.21630666846337e-05 0.0110235265794302 .
evgLocus_324407 26.7216195938565 -3.17879877402042 0.814617232652597 -3.90219927421552 9.53226296790713e-05 0.0113380972301606 ES16_MANSE
evgLocus_424617 33.6200976893144 -2.80777181590902 0.721593435783094 -3.89107172636895 9.98024225593268e-05 0.0115343987718282 .
evgLocus_456264 107.365174636265 -3.99600151130322 1.02793544340716 -3.88740512542129 0.000101321569772096 0.0116005069990405 .
evgLocus_645570 3.37627531825831 -3.5949862692276 0.929001031045596 -3.86973334699255 0.000108954455014811 0.0122131669207701 .
evgLocus_367112 39.7726479482468 -9.08511958054885 2.34864905727042 -3.86823205979846 0.000109627309983765 0.0122245870143355 .
evgLocus_137621 16759.396483932 -1.56045425646184 0.405092246709116 -3.85209608216064 0.000117111051083706 0.0128581928394982 RS15A_DROYA
evgLocus_271036 137.295902505567 -3.33099461492143 0.866560657957599 -3.8439255051946 0.000121081774601009 0.0131320196352458 GAGXE_DROME
evgLocus_734788 1057.42102892935 -3.55702076372979 0.92929515458429 -3.82765448219837 0.000129370187886436 0.0136444124268404 .
evgLocus_224353 24.1859511057774 -2.49522033137941 0.653546499161222 -3.81796908801721 0.000134554779943394 0.014052769944332 DSX_DROME
evgLocus_17480 3.80409657387485 -2.61393667452719 0.694652754892171 -3.76294005331188 0.000167927465368798 0.0164785443734715 .
evgLocus_842404 240.876037634782 -6.87265245552345 1.8285728441289 -3.75847890205186 0.000170949450065935 0.0165734880843419 .
evgLocus_368026 18.7986982272143 -3.94110784920649 1.05365258797087 -3.74042440003521 0.000183709797495727 0.0172509945806295 .
evgLocus_757646 15.0335893030878 -1.66331001414731 0.445565457093168 -3.73303178616808 0.000189188708719469 0.017408591675726 NEUL4_XENTR
evgLocus_225808 33.4016976885265 -3.67830192340107 0.992479636225 -3.70617369782203 0.000210414020248539 0.0186155544360381 .
evgLocus_363462 28.4252456951438 -1.91780859801486 0.518288253381889 -3.70027409554614 0.00021536672423557 0.0187778658986636 RLA2_DROME
evgLocus_476842 24.1102282768432 -4.11707092283838 1.11367451343138 -3.6968350026734 0.000218304124819791 0.0188683259301933 .
evgLocus_155563 568.790306719406 -2.7493069297038 0.746702242460253 -3.68193206524372 0.000231473097873037 0.0196660278788164 T2AG_DROME
evgLocus_359118 362.54698666387 -5.17475490288781 1.40676334779943 -3.67848288838528 0.000234625428998523 0.0198550610073453 .
evgLocus_449395 215.455528992722 -0.953883232139069 0.260071665893921 -3.66777068490092 0.000244674468534819 0.0203831921063442 TAF10_MOUSE
evgLocus_340422 26.6996622754086 -2.796624724311 0.765267595838979 -3.65444027620822 0.000257743649836551 0.0208237416717002 RHG20_HUMAN
evgLocus_4004 1304.63443931861 -1.22508783270955 0.336103138438947 -3.64497587972417 0.000267416881044714 0.0212485156855629 PSB2_BOVIN
evgLocus_426743 89.2561005443835 -2.63542885982685 0.723134734173077 -3.64445066083091 0.000267963532699766 0.0212485156855629 .
evgLocus_28662 30.3969575667421 -2.48568640451568 0.685636950700103 -3.62536820977566 0.000288550022577189 0.0225394762069766 HARB1_XENLA
evgLocus_28782 3028.49510554789 -1.51973334815358 0.419084369837013 -3.62631836817161 0.000287490871168733 0.0225394762069766 HINT1_BOVIN
evgLocus_449914 38.9616249030944 -3.36118397921608 0.926962091055066 -3.62602096854941 0.000287821993372495 0.0225394762069766 .
evgLocus_34693 92.398928494588 -2.09879666490913 0.582029098535138 -3.60599954571244 0.000310953679154619 0.0233428803899242 .
evgLocus_736187 41.8692619537535 -1.9028392957367 0.527792782445256 -3.60527722058054 0.000311819887506695 0.0233428803899242 GAGXE_DROME
evgLocus_4934 25.4040122546803 -3.73776375473131 1.03743478029708 -3.60289034618731 0.000314698307523602 0.0233947595975011 .
evgLocus_5980 66.6308053455573 -1.26919375911843 0.352768637195652 -3.59780781309795 0.000320910599034944 0.0237740343437306 RPC9_BOVIN
evgLocus_341229 15.7112090867868 -2.20326950478844 0.614429567307812 -3.58587805994151 0.000335945920597872 0.0245481302389094 .
evgLocus_450387 23.7257959264288 -2.08333748643145 0.582033617643539 -3.57941091936611 0.000344369609474406 0.0247090727524309 HARB1_XENLA
evgLocus_725426 245.336329158266 -1.06255178261236 0.296895254296569 -3.57887762514039 0.000345072991731753 0.0247090727524309 BUD31_BRABE
evgLocus_349726 13.4612169666887 -3.16042321354013 0.883788680752576 -3.57599421939748 0.000348899360570224 0.0248170608299286 DHGL_DROPS
evgLocus_612576 884.039040097261 -1.35704265222927 0.380124119218677 -3.5699988072806 0.000356982853206487 0.0250734871439006 ATP5I_BOVIN
evgLocus_512192 22.5292984080858 -1.8023017430352 0.505349135121422 -3.56644865455673 0.000361851667393012 0.0252024433426184 RTJK_DROME
evgLocus_457566 56.9717002200254 -2.14272893869647 0.601207360306072 -3.56404309089897 0.000365185964613733 0.0253030145708091 .
evgLocus_375172 2045.845116704 -1.43546326290421 0.403698482830474 -3.55578067284193 0.00037685837667372 0.0257780761807807 GPX4_BOVIN
evgLocus_378210 122.785493620285 -2.18536624016337 0.615213276222237 -3.55220916814861 0.000382011057614384 0.0260473144698215 CHCH7_HUMAN
evgLocus_369877 54.2525222296409 -2.41184797959001 0.683923227417965 -3.52648935275313 0.000421108096815283 0.0278421935857809 .
evgLocus_425805 65.0101352534761 -2.78489771296728 0.789351374561027 -3.52808369341982 0.000418579788811357 0.0278421935857809 NDUC2_MOUSE
